filter_level_1,filter_level_2,filter_level_3,variable_name,unit,value,scenario,year,geo
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Lpg","TJ","204393.308","REF","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Lpg","TJ","92671.382","E-B+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Lpg","TJ","45493.224","E+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Lpg","TJ","45493.224","E+RE+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Lpg","TJ","45493.224","E+RE-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Lpg","TJ","92671.382","E-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Gasoline fuel","TJ","184726.129","E-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Gasoline fuel","TJ","90683.736","E+RE-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Gasoline fuel","TJ","184726.129","E-B+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Gasoline fuel","TJ","90683.736","E+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Gasoline fuel","TJ","407426.585","REF","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Gasoline fuel","TJ","90683.736","E+RE+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Diesel fuel","TJ","29651.348","E+RE-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Diesel fuel","TJ","129949.74","E-B+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Diesel fuel","TJ","29651.348","E+RE+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Diesel fuel","TJ","211422.606","REF","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Diesel fuel","TJ","29651.348","E+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Diesel fuel","TJ","129949.74","E-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Other petroleum","TJ","13596.767","REF","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Other petroleum","TJ","10087.753","E+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Other petroleum","TJ","10087.753","E-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Other petroleum","TJ","10087.753","E-B+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Other petroleum","TJ","10087.753","E+RE-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Other petroleum","TJ","10087.753","E+RE+","2050","national"
